2020-Apr-19 | 22:46:51 | Start of log
2020-Apr-19 | 22:46:51 | INFO | cliParams.configPath: 
2020-Apr-19 | 22:46:51 | INFO | cliParams.dhName: DESKTOP-NRPN191_Tracker
2020-Apr-19 | 22:46:51 | INFO | cliParams.dhIp: 127.0.0.1
2020-Apr-19 | 22:46:51 | INFO | 
2020-Apr-19 | 22:46:51 | INFO | Resolved myConfig.myActiveConfigPath: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\activeConfig.json
2020-Apr-19 | 22:46:51 | INFO | Resolved defaultConfigPath: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\default.json
2020-Apr-19 | 22:46:51 | INFO | Resolved myConfig.myFolderPath: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects
2020-Apr-19 | 22:46:51 | INFO | Resolved myConfig.myLogFolderPath: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\log
2020-Apr-19 | 22:46:51 | INFO | Trying to parse D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\activeConfig.json
2020-Apr-19 | 22:46:51 | ERROR | Error parsing config: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\activeConfig.json reason: Error reading config file: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\activeConfig.json error: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\activeConfig.json: cannot open file
2020-Apr-19 | 22:46:51 | INFO | Trying to parse D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\default.json
2020-Apr-19 | 22:46:51 | ERROR | Distortion model not recognized: undefined
2020-Apr-19 | 22:46:51 | INFO | Success! Starting with chains
2020-Apr-19 | 22:46:51 | INFO | Input: [127.0.0.1:6305]
2020-Apr-19 | 22:46:51 | INFO | Output: [192.168.44.4:8567]
2020-Apr-19 | 22:46:51 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 22:46:53 | STATUS | {"CTS_Statusreport":[{"name":"big_cross","id":"big_cross","status":"50.00 hz","reasons":""}]}
2020-Apr-19 | 22:46:53 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 22:46:53 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 22:46:54 | STATUS | {"CTS_Statusreport":[{"name":"big_cross","id":"big_cross","status":"50.01 hz","reasons":""}]}
2020-Apr-19 | 22:46:54 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 22:46:54 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 22:46:55 | STATUS | {"CTS_Statusreport":[{"name":"big_cross","id":"big_cross","status":"50.00 hz","reasons":""}]}
2020-Apr-19 | 22:46:55 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 22:46:55 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 22:46:56 | STATUS | {"CTS_Statusreport":[{"name":"big_cross","id":"big_cross","status":"50.01 hz","reasons":""}]}
2020-Apr-19 | 22:46:56 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 22:46:56 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 22:46:57 | STATUS | {"CTS_Statusreport":[{"name":"big_cross","id":"big_cross","status":"50.00 hz","reasons":""}]}
2020-Apr-19 | 22:46:57 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 22:46:57 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 22:46:58 | STATUS | {"CTS_Statusreport":[{"name":"big_cross","id":"big_cross","status":"50.00 hz","reasons":""}]}
2020-Apr-19 | 22:46:58 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 22:46:58 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 22:46:59 | STATUS | {"CTS_Statusreport":[{"name":"big_cross","id":"big_cross","status":"50.01 hz","reasons":""}]}
