2020-Apr-19 | 18:21:02 | Start of log
2020-Apr-19 | 18:21:02 | INFO | cliParams.configPath: 
2020-Apr-19 | 18:21:02 | INFO | cliParams.dhName: DESKTOP-NRPN191_Tracker
2020-Apr-19 | 18:21:02 | INFO | cliParams.dhIp: 127.0.0.1
2020-Apr-19 | 18:21:02 | INFO | 
2020-Apr-19 | 18:21:02 | INFO | Resolved myConfig.myActiveConfigPath: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\activeConfig.json
2020-Apr-19 | 18:21:02 | INFO | Resolved defaultConfigPath: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\default.json
2020-Apr-19 | 18:21:02 | INFO | Resolved myConfig.myFolderPath: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects
2020-Apr-19 | 18:21:02 | INFO | Resolved myConfig.myLogFolderPath: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\log
2020-Apr-19 | 18:21:02 | INFO | Trying to parse D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\activeConfig.json
2020-Apr-19 | 18:21:02 | ERROR | Error parsing config: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\activeConfig.json reason: Error reading config file: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\activeConfig.json error: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\activeConfig.json: cannot open file
2020-Apr-19 | 18:21:02 | INFO | Trying to parse D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\default.json
2020-Apr-19 | 18:21:02 | ERROR | Distortion model not recognized: undefined
2020-Apr-19 | 18:21:02 | INFO | Success! Starting with chains
2020-Apr-19 | 18:21:02 | INFO | Input: [127.0.0.1:6305]
2020-Apr-19 | 18:21:02 | INFO | Output: [192.168.44.4:8567]
2020-Apr-19 | 18:21:02 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:21:04 | STATUS | {"CTS_Statusreport":[{"name":"big_cross","id":"COb5Oj7gyr63mLCK","status":"50.00 hz","reasons":""}]}
2020-Apr-19 | 18:21:05 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 18:21:05 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:21:05 | STATUS | {"CTS_Statusreport":[{"name":"big_cross","id":"COb5Oj7gyr63mLCK","status":"50.02 hz","reasons":""}]}
2020-Apr-19 | 18:21:06 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 18:21:06 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:21:06 | STATUS | {"CTS_Statusreport":[{"name":"big_cross","id":"COb5Oj7gyr63mLCK","status":"50.01 hz","reasons":""}]}
2020-Apr-19 | 18:21:07 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 18:21:07 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:21:07 | STATUS | {"CTS_Statusreport":[{"name":"big_cross","id":"COb5Oj7gyr63mLCK","status":"50.01 hz","reasons":""}]}
2020-Apr-19 | 18:21:08 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 18:21:08 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:21:08 | STATUS | {"CTS_Statusreport":[{"name":"big_cross","id":"COb5Oj7gyr63mLCK","status":"50.02 hz","reasons":""}]}
2020-Apr-19 | 18:21:09 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 18:21:09 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:21:09 | STATUS | {"CTS_Statusreport":[{"name":"big_cross","id":"COb5Oj7gyr63mLCK","status":"50.01 hz","reasons":""}]}
2020-Apr-19 | 18:21:10 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 18:21:10 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:21:10 | STATUS | {"CTS_Statusreport":[{"name":"big_cross","id":"COb5Oj7gyr63mLCK","status":"50.02 hz","reasons":""}]}
2020-Apr-19 | 18:21:11 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 18:21:11 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:21:11 | STATUS | {"CTS_Statusreport":[{"name":"big_cross","id":"COb5Oj7gyr63mLCK","status":"50.01 hz","reasons":""}]}
2020-Apr-19 | 18:21:12 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 18:21:12 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:21:12 | STATUS | {"CTS_Statusreport":[{"name":"big_cross","id":"COb5Oj7gyr63mLCK","status":"50.02 hz","reasons":""}]}
2020-Apr-19 | 18:21:13 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 18:21:13 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:21:13 | STATUS | {"CTS_Statusreport":[{"name":"big_cross","id":"COb5Oj7gyr63mLCK","status":"50.01 hz","reasons":""}]}
2020-Apr-19 | 18:21:14 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 18:21:14 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:21:14 | STATUS | {"CTS_Statusreport":[{"name":"big_cross","id":"COb5Oj7gyr63mLCK","status":"50.02 hz","reasons":""}]}
2020-Apr-19 | 18:21:15 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 18:21:15 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
